"Feature","Gain","Cover","Frequency"
"ENSG00000211638",0.000164646172253764,0.000161327588458919,0.000930665425779432
"ENSG00000103460",0.000164531985034399,0.000563978007066223,0.000930665425779432
"ENSG00000240864",0.000162669543110996,0.000331013940276955,0.000465332712889716
"ENSG00000152669",0.000159881265922996,0.000204034510507013,0.000465332712889716
"ENSG00000094755",0.000158784341243465,0.000234666889985273,0.000930665425779432
"ENSG00000105825",0.000156287100514452,0.000150600138246071,0.000465332712889716
"ENSG00000161055",0.00015344230395911,0.000618466300666196,0.000930665425779432
"ENSG00000124143",0.000152401028582768,0.000512806513765162,0.000930665425779432
"ENSG00000165731",0.0001514173688546,0.000682296539518199,0.000930665425779432
"ENSG00000211966",0.000151078461465946,0.000375770649248141,0.000930665425779432
"ENSG00000129451",0.000148861346591448,0.000539559340766483,0.000930665425779432
"ENSG00000272398",0.000148173386866124,0.00128165427198338,0.00139599813866915
"ENSG00000173432",0.000147307029186986,0.000719946675760139,0.000930665425779432
"ENSG00000107485",0.000146067205171061,0.000500634297735231,0.00139599813866915
"ENSG00000131203",0.000145762500004239,0.000526096913160771,0.000930665425779432
"ENSG00000224650",0.000145140804364764,0.000426299552410269,0.000930665425779432
"ENSG00000180730",0.000144825397408867,0.00069690507871214,0.00186133085155886
"ENSG00000230873",0.000137976826643301,0.000545380040284617,0.000465332712889716
"ENSG00000169035",0.000137577066967827,0.000677344778290052,0.00139599813866915
"ENSG00000134202",0.000137256709346903,0.000880544741085334,0.00186133085155886
"ENSG00000086570",0.000136756648675937,0.000297714701756627,0.000930665425779432
"ENSG00000213759",0.000128099005722079,0.000217130692764892,0.000930665425779432
"ENSG00000249661",0.000128011599077326,0.000247308658671698,0.000930665425779432
"ENSG00000263639",0.000125588278998703,0.000371024749449004,0.00139599813866915
"ENSG00000185008",0.000123400546190632,0.000593025407191529,0.000930665425779432
"ENSG00000163879",0.000122860871498806,0.000333976772197493,0.000930665425779432
"ENSG00000151632",0.000120370982811881,0.000219054998515465,0.000930665425779432
