"miRNA","mRNA","correlation"
"hsa-mir-379","ENSG00000092607",0.481173021398512
"hsa-mir-381","ENSG00000183722",0.480946950035161
"hsa-mir-432","ENSG00000233608",0.480791825519703
"hsa-mir-150","ENSG00000204136",0.480445206236462
"hsa-mir-337","ENSG00000092607",0.480415142413773
"hsa-mir-577","ENSG00000134690",0.480252886463534
"hsa-mir-210","ENSG00000005102",-0.479954356447433
"hsa-let-7c","ENSG00000185610",0.479868778485219
"hsa-mir-135b","ENSG00000136928",0.479772911370219
"hsa-mir-577","ENSG00000004838",-0.479730028390457
"hsa-mir-519a-1","ENSG00000280916",0.479641702161837
"hsa-mir-100","ENSG00000234456",0.479510592012992
"hsa-mir-210","ENSG00000186642",-0.479488306112364
"hsa-mir-5683","ENSG00000186642",0.47947313540351
"hsa-mir-210","ENSG00000137033",-0.479441582965435
"hsa-mir-223","ENSG00000081041",0.47936109349367
"hsa-mir-577","ENSG00000124249",-0.479322355556906
"hsa-mir-432","ENSG00000177363",0.479129563576805
"hsa-mir-135b","ENSG00000155918",0.479058501324219
"hsa-mir-100","ENSG00000180139",0.478548976023911
"hsa-let-7c","ENSG00000168497",0.47822481774031
"hsa-mir-99a","ENSG00000154263",0.478123088298959
"hsa-mir-210","ENSG00000156298",-0.478121838048356
"hsa-mir-577","ENSG00000256124",0.47793199945751
"hsa-mir-375","ENSG00000176532",0.477867360663601
"hsa-mir-432","ENSG00000172935",0.477854087620023
"hsa-mir-934","ENSG00000136231",0.477815719642714
"hsa-mir-210","ENSG00000168477",-0.477772109194011
